step,win_rate_vs_random,win_rate_vs_heuristic,policy_loss,value_loss,entropy,avg_steps_vs_random,avg_steps_vs_heuristic,curriculum_stage,lr,entropy_coef,rollout_steps,stall_counter
131072,0.4,0.0,-0.027608,0.602173,3.124718,4.1,6.2,random,0.0003,0.01,128,0
262144,0.8,0.0,-0.008592,0.391615,3.275269,4.3,7.5,random,0.0003,0.01,128,0
262144,0.8,0.0333,-0.007063,0.395243,3.260286,4.5,6.1,random,0.0003,0.01,128,0
393216,0.7333,0.0,0.001147,0.213742,3.341063,4.3,8.4,mixed,0.0003,0.01,128,1
393216,0.8333,0.0,0.015738,0.195802,3.291876,5.1,7.3,mixed,0.0003,0.01,128,0
524288,0.9333,0.0,-0.005466,0.129081,3.315636,4.7,8.7,mixed,0.0003,0.01,128,0
524288,0.9,0.0,-0.00399,0.128676,3.41018,5.0,8.1,mixed,0.0003,0.01,128,0
655360,0.9333,0.0333,0.002508,0.097792,3.4899,5.0,8.5,mixed,0.0003,0.01,128,0
655360,0.9,0.0,0.00248,0.091208,3.343303,4.7,8.6,mixed,0.0003,0.01,128,1
786432,0.9667,0.0,0.002419,0.070068,3.570877,4.8,8.0,mixed,0.0003,0.01,128,0
786432,0.9333,0.0333,-0.001501,0.06776,3.417652,5.0,8.8,mixed,0.0003,0.01,128,2
917504,0.9667,0.0,0.002326,0.072273,3.647431,5.1,8.0,mixed,0.0003,0.01,128,1
917504,0.9667,0.0,0.017026,0.058559,3.525446,4.9,9.2,mixed,0.0003,0.01,128,0
1048576,0.9667,0.0,0.014297,0.058882,3.722439,4.8,8.1,mixed,0.0003,0.01,128,2
1048576,0.9,0.0333,0.013502,0.056296,3.604311,4.7,7.7,mixed,0.0003,0.01,128,1
1179648,0.9333,0.0,-0.004325,0.083466,3.794979,4.9,9.5,mixed,0.0003,0.01,128,3
1179648,0.8667,0.0333,0.011137,0.048322,3.708505,4.8,8.1,mixed,0.0003,0.01,128,2
1310720,0.9,0.0333,0.010219,0.063461,3.865717,5.0,9.1,mixed,0.0003,0.01,128,4
1310720,1.0,0.0,-0.008416,0.059398,3.824741,4.9,9.4,mixed,0.0003,0.01,128,0
1441792,0.9667,0.0,-0.000929,0.052613,3.964756,4.8,9.0,mixed,0.0003,0.01,128,5
1441792,1.0,0.0,0.014776,0.049864,3.936075,4.9,9.9,mixed,0.0003,0.01,128,1
1572864,0.9667,0.0,0.004981,0.0632,4.469562,5.0,8.7,mixed,0.0003,0.05,128,1
1572864,1.0,0.0,-0.007686,0.047416,4.011891,4.9,8.9,mixed,0.0003,0.01,128,2
1703936,0.9667,0.0,-0.007168,0.083285,4.906715,4.9,8.2,mixed,0.0003,0.05,128,2
