step,win_rate_vs_random,win_rate_vs_heuristic,policy_loss,value_loss,entropy,avg_steps_vs_random,avg_steps_vs_heuristic,curriculum_stage,lr,entropy_coef,rollout_steps,stall_counter
196608,0.4667,0.0,-0.016076,0.578929,3.000353,4.0,4.7,random,0.0003,0.01,128,0
393216,0.5667,0.0333,-0.013132,0.600547,3.149783,4.2,5.8,random,0.0003,0.01,128,0
589824,0.8,0.0,-0.009573,0.50608,3.243153,4.7,6.8,random,0.0003,0.01,128,0
786432,0.8333,0.0333,-0.007687,0.380287,3.289416,4.7,7.6,mixed,0.0003,0.01,128,0
983040,0.9,0.0333,-0.005259,0.241204,3.344023,4.6,7.8,mixed,0.0003,0.01,128,0
1179648,0.9333,0.0,-0.00395,0.176995,3.375136,4.8,8.9,mixed,0.0003,0.01,128,0
1376256,0.9,0.0,-0.002862,0.136828,3.431166,5.1,8.2,mixed,0.0003,0.01,128,1
1572864,0.9333,0.0,-0.003312,0.145626,3.479208,5.0,9.6,mixed,0.0003,0.01,128,2
1769472,0.9333,0.0333,-0.002481,0.126897,3.511634,4.8,8.8,mixed,0.0003,0.01,128,3
1966080,0.9667,0.0,-0.001711,0.100985,3.55449,5.0,9.9,mixed,0.0003,0.01,128,0
2162688,0.9667,0.0,-0.001406,0.078277,3.636428,5.0,8.2,mixed,0.0003,0.01,128,1
2359296,0.9667,0.0,-0.001099,0.072803,3.746193,5.1,10.4,mixed,0.0003,0.01,128,2
2555904,1.0,0.0667,-0.001165,0.070664,3.850797,5.0,10.1,mixed,0.0003,0.01,128,0
2752512,0.9667,0.0,-0.00059,0.05841,3.961689,5.0,10.7,mixed,0.0003,0.01,128,1
2949120,1.0,0.0,-0.001296,0.06491,4.085179,4.9,9.2,mixed,0.0003,0.01,128,2
