step,elo,vs_random_winrate,vs_pool_winrate,vs_opponent_winrate,features_discovered,policy_loss,value_loss,entropy,pool_size,opponent,iteration,episodes,elapsed_seconds
196608,1024.9519467683642,1.0,0.9,0.9172413793103448,0,-0.004524218453430383,0.1072620033497735,4.028311066466409,2,pool_step_0,0,4060,732.8296203613281
393216,1060.200242082823,0.98,0.9333333333333333,0.8441775108441775,0,-0.004643480459381855,0.12519977082527556,4.093213997416646,3,pool_step_196608,1,2997,640.6093816757202
589824,1091.6527915119473,0.98,0.87,0.9937665281450699,0,-0.004821829687636981,0.03374259619083007,4.464099172036421,4,random,2,10588,1300.8036534786224
786432,1128.4827920958317,0.98,0.9,0.8849206349206349,0,-0.004149200684778113,0.09963567511551923,4.849829545035598,5,pool_step_589824,3,3024,622.823912858963
983040,1169.9828941345604,1.0,0.976,0.9801792017377138,0,-0.0032689060377378057,0.05055705598899671,5.031613841142652,6,pool_step_0,4,3683,640.6610789299011
1179648,1203.0066421629365,1.0,0.972,0.9378394689197345,0,-0.0035375483432672295,0.05510099318695183,5.279600102306675,7,pool_step_983040,5,1657,554.713449716568
1376256,1224.2770255403357,1.0,0.928,0.9206576125804146,0,-0.0041468639501660905,0.06065754325165435,5.412123820689141,8,pool_step_1179648,6,1399,484.8116283416748
1572864,1232.0696599176167,0.98,0.852,0.875,0,-0.004582656244231525,0.07584999886473813,5.57577587270193,9,pool_step_983040,7,1184,469.82044553756714
1769472,1235.242941571779,0.96,0.832,0.8185920577617328,0,-0.004841141613181561,0.0878855298286942,5.707599253392656,10,pool_step_786432,8,1108,468.049311876297
1966080,1247.2230058699545,1.0,0.892,0.9597685312758336,10,-0.0055045603826284414,0.09979705890313416,5.9209207614127735,11,random,9,10887,617.6018714904785
2162688,1273.5403836114813,1.0,0.992,0.9795093016985711,10,-0.004223557619204339,0.3486111987222621,6.063068813962705,12,pool_step_0,10,3709,534.0708312988281
2359296,1296.9708012558012,0.98,0.996,0.9968058407483459,10,-0.0013730124338815334,1.07322993295693,5.868522054908666,13,pool_step_1769472,11,4383,569.2825877666473
2555904,1317.9471652999948,0.98,1.0,0.9962928637627433,10,0.000368440448885291,2.6401810137358948,5.745691296033782,14,pool_step_1179648,12,1079,437.723997592926
2752512,1337.5099386435922,1.0,1.0,0.999656002751978,10,-0.0003929583734802119,0.9493556387186423,5.773146077952481,15,pool_step_2555904,13,8721,540.4312250614166
2949120,1354.979685876104,1.0,1.0,1.0,10,0.0004747266182056935,2.259557814831612,5.839125382026321,16,pool_step_983040,14,1423,455.1163864135742
3145728,1370.9482957999567,0.96,0.996,0.9995889847924373,10,1.0832025298788239e-05,1.6549890808041057,5.9970257501187,17,pool_step_2949120,15,7299,546.4650735855103
3342336,1386.8240492396824,1.0,1.0,0.9951447067783702,10,-0.0022301787404826368,0.3184988839084574,6.0757986568448885,18,random,16,10504,567.0468347072601
3538944,1399.9239763495257,1.0,1.0,0.9979940777533671,10,-0.0018505019224624613,0.20051268803938677,5.9376225453083,19,random,17,10469,561.5974957942963
3735552,1412.9900539594796,1.0,1.0,1.0,10,-8.087819074371517e-05,1.4251838564813064,5.932078582746233,20,pool_step_3538944,18,1772,347.0336844921112
3932160,1414.0065519461623,1.0,0.924,1.0,10,0.0007019959547691708,1.6397570298439448,5.981961895036237,20,pool_step_2555904,19,9373,650.6007781028748
4128768,1411.3493484267578,1.0,0.9,0.5,10,-0.0006325573585926454,0.06334767984279992,6.061137628675164,20,pool_step_3932160,20,2,322.3829972743988
4325376,1423.1986228431867,1.0,0.996,0.9959016393442623,10,-0.0008534848736814584,0.11413401029372493,6.275497805455555,20,pool_step_4128768,21,244,313.13569831848145
4521984,1435.0876483721322,1.0,1.0,1.0,10,-0.00036162439486513105,0.40422971349187725,6.5035327596627175,20,pool_step_4325376,22,690,367.7332010269165
4718592,1445.365657390213,1.0,0.996,0.9965714285714286,10,-0.0005486246255690424,0.37440124666044117,6.723355604835463,20,pool_step_4521984,23,875,27837.18524670601
4915200,1424.1672774610943,1.0,0.796,0.9995326010750175,10,-0.0007080404952450319,0.12232238080909179,6.8736459888336245,20,pool_step_2949120,24,8558,783.8494231700897
5111808,1433.4047316779097,1.0,0.984,0.9988738738738738,10,-0.0006658017124508846,2.2290879498635006,6.854615172891421,20,pool_step_4521984,25,888,405.9172897338867
5308416,1444.7770179183408,1.0,1.0,1.0,10,-2.308372798628018e-05,2.5083551194693428,6.84404189508253,20,pool_step_4915200,26,2017,383.558500289917
5505024,1446.4141091384151,1.0,0.94,1.0,10,6.736760346655358e-05,0.8719575510233674,6.920661089521539,20,pool_step_5308416,27,1634,347.6991264820099
5701632,1449.438276663862,1.0,0.948,1.0,10,-7.677293815890428e-05,1.313845894909523,7.007372128449699,20,pool_step_5111808,28,1618,378.12325501441956
5898240,1443.2247441916256,1.0,0.888,1.0,10,-2.5962256226345432e-05,1.6032326738835154,7.086847620472932,20,pool_step_5701632,29,212,346.685195684433
